Dong_name,code_dong,return_day,rent_day,rental_stop,large_store,company,hospital,restaurant,park,cafe,house,bank,car,school,bus_stop,bus_geton_people,bus_getoff_people,subway_station,subway_geton_people,subway_getoff_people,M_child,M_teenager,M_20,M_30,M_40,M_50,M_60,M_over70,W_child,W_teenager,W_20,W_30,W_40,W_50,W_60,W_over70,M_sum,W_sum
옥수동,11200645,9.32,11.58,3,2.0,868.0,42.0,299.0,0.0,10.0,9899.0,2.0,58250.0,4.0,41,168.02829268292686,172.47975609756097,2.0,3543.16,3708.385,37028.38,20008.18,30449.33,56411.37,59530.05,42752.29,29141.31,32840.72,32098.0,23800.11,40907.73,74191.68,66016.7,48439.99,45486.23,47304.89,308161.63,378245.33
왕십리2동,11200520,15.32,17.23,4,2.0,824.0,37.0,277.0,0.0,13.0,5060.0,0.0,30004.0,1.0,13,217.62538461538463,215.5430769230769,1.0,11017.81,10714.87,12725.29,14993.14,20936.55,29023.2,25644.44,21920.65,15813.05,13198.69,13712.69,15093.85,27728.28,34284.01,30904.07,28320.32,21163.06,24462.63,154255.00999999998,195668.91
왕십리도선동,11200535,52.39,51.9,7,3.0,2176.0,47.0,591.0,0.0,30.0,8480.0,4.0,51638.0,2.0,27,268.3492592592592,328.7388888888887,0.0,0.0,0.0,33572.04,21907.09,49577.44,58355.17,56220.35,50008.03,31789.78,25203.92,32330.84,23659.78,70062.48,73477.4,56854.95,57837.88,39354.06,41078.58,326633.82,394655.97
용강동,11440590,46.87,46.68,4,2.0,2566.0,24.0,493.0,0.0,32.0,7309.0,6.0,63241.0,1.0,19,219.3857894736842,208.71105263157895,0.0,0.0,0.0,36669.27,30025.39,33098.27,62102.87,69893.84,49594.11,30529.62,23121.2,34147.94,26968.52,44620.61,66842.93,70132.22,49234.76,34802.18,42190.67,335034.56999999995,368939.83
용답동,11200790,41.55,41.81,6,6.0,1864.0,28.0,367.0,0.0,24.0,2504.0,2.0,62525.0,1.0,11,598.1336363636364,619.8299999999999,4.0,7510.855,7256.435,9863.0,15922.16,39500.75,41219.95,43470.55,43888.93,28413.37,20529.7,7442.61,13902.69,46084.14,40792.66,36013.6,33670.08,24248.14,31061.68,242808.41000000003,233215.6
용문동,11170590,30.16,31.06,2,0.0,630.0,13.0,202.0,0.0,16.0,4231.0,0.0,23854.0,0.0,17,156.58235294117648,143.53058823529412,0.0,0.0,0.0,8430.69,8964.09,12438.55,18625.29,16753.86,14357.36,10596.99,9324.89,7759.36,8850.1,15586.63,21467.82,18205.72,17823.64,14313.86,18287.72,99491.72,122294.85
용산2가동,11170520,27.65,28.45,4,1.0,601.0,6.0,315.0,1.0,32.0,3243.0,0.0,16107.0,5.0,26,260.17884615384617,260.9076923076923,1.0,3811.74,3753.68,5571.44,8617.85,24640.72,31059.88,24256.47,16747.02,13047.79,12752.76,5161.52,8318.27,25233.39,30888.19,21207.74,17520.04,16447.6,19430.89,136693.93000000002,144207.63999999998
용신동,11230536,55.55,54.77,14,16.0,5195.0,92.0,946.0,1.0,58.0,8495.0,8.0,68525.0,3.0,39,760.1715384615384,734.0387179487179,5.0,6116.232,6122.788,17173.69,23119.44,71987.7,80467.78,76788.24,79789.98,55798.94,48044.57,18410.01,21992.19,85814.0,79099.71,64688.03,66895.72,54774.74,66182.61,453170.33999999997,457857.01
우이동,11305645,25.1,26.1,7,0.0,1016.0,18.0,393.0,1.0,33.0,7122.0,0.0,40160.0,1.0,35,238.71142857142857,168.3908571428572,3.0,2260.57,2168.3866666666668,12650.24,17110.01,27241.54,27777.81,31824.8,34132.42,26961.78,29993.62,13897.55,15711.79,32334.3,29549.0,33201.91,37269.73,34284.62,48158.06,207692.22,244406.96000000002
우장산동,11500615,73.61,72.0,9,1.0,1664.0,59.0,409.0,1.0,39.0,13395.0,3.0,99690.0,2.0,27,310.9666666666667,350.5962962962963,0.0,0.0,0.0,43369.46,52796.75,46530.28,59470.23,70470.62,50897.49,36926.28,28415.53,33675.8,53727.9,63572.49,65517.51,80673.77,59742.61,50420.94,50898.05,388876.64,458229.07
